LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,USD_CAP,A,2011,44429.559507,
AUS,GDP,TOT,USD_CAP,A,2012,43883.378891,
AUS,GDP,TOT,USD_CAP,A,2013,47761.901259,
AUS,GDP,TOT,USD_CAP,A,2014,47603.880878,
AUS,GDP,TOT,USD_CAP,A,2015,47232.62912,
AUS,GDP,TOT,USD_CAP,A,2016,50150.652199,
AUS,GDP,TOT,USD_CAP,A,2017,50699.175108,
AUS,GDP,TOT,USD_CAP,A,2018,52980.734327,
AUS,GDP,TOT,USD_CAP,A,2019,52669.473903,
AUS,GDP,TOT,USD_CAP,A,2020,55635.462558,
AUT,GDP,TOT,USD_CAP,A,2011,44469.209642,
AUT,GDP,TOT,USD_CAP,A,2012,46477.655075,
AUT,GDP,TOT,USD_CAP,A,2013,47936.677963,
AUT,GDP,TOT,USD_CAP,A,2014,48813.534409,
AUT,GDP,TOT,USD_CAP,A,2015,49942.056293,
AUT,GDP,TOT,USD_CAP,A,2016,52665.087457,
AUT,GDP,TOT,USD_CAP,A,2017,54188.360666,
AUT,GDP,TOT,USD_CAP,A,2018,56956.110562,
AUT,GDP,TOT,USD_CAP,A,2019,58040.271257,
AUT,GDP,TOT,USD_CAP,A,2020,55938.853807,
BEL,GDP,TOT,USD_CAP,A,2011,40943.343479,
BEL,GDP,TOT,USD_CAP,A,2012,42290.477674,
BEL,GDP,TOT,USD_CAP,A,2013,43672.712292,
BEL,GDP,TOT,USD_CAP,A,2014,44929.933328,
BEL,GDP,TOT,USD_CAP,A,2015,46201.685891,
BEL,GDP,TOT,USD_CAP,A,2016,48599.202676,
BEL,GDP,TOT,USD_CAP,A,2017,50442.947518,
BEL,GDP,TOT,USD_CAP,A,2018,52530.84151,
BEL,GDP,TOT,USD_CAP,A,2019,54324.355662,
BEL,GDP,TOT,USD_CAP,A,2020,53430.950766,P
CAN,GDP,TOT,USD_CAP,A,2011,41666.718851,
CAN,GDP,TOT,USD_CAP,A,2012,42290.879082,
CAN,GDP,TOT,USD_CAP,A,2013,44298.514462,
CAN,GDP,TOT,USD_CAP,A,2014,45753.782936,
CAN,GDP,TOT,USD_CAP,A,2015,44670.054374,
CAN,GDP,TOT,USD_CAP,A,2016,46472.368771,
CAN,GDP,TOT,USD_CAP,A,2017,48317.191163,
CAN,GDP,TOT,USD_CAP,A,2018,49892.028612,
CAN,GDP,TOT,USD_CAP,A,2019,49286.811601,
CAN,GDP,TOT,USD_CAP,A,2020,46572.141022,
CZE,GDP,TOT,USD_CAP,A,2011,28999.754757,
CZE,GDP,TOT,USD_CAP,A,2012,29258.904853,
CZE,GDP,TOT,USD_CAP,A,2013,30828.526409,
CZE,GDP,TOT,USD_CAP,A,2014,32504.217576,
CZE,GDP,TOT,USD_CAP,A,2015,33909.309243,
CZE,GDP,TOT,USD_CAP,A,2016,36101.285601,
CZE,GDP,TOT,USD_CAP,A,2017,38842.896268,
CZE,GDP,TOT,USD_CAP,A,2018,41157.370409,
CZE,GDP,TOT,USD_CAP,A,2019,42865.741123,
CZE,GDP,TOT,USD_CAP,A,2020,41706.802061,
DNK,GDP,TOT,USD_CAP,A,2011,44407.94207,
DNK,GDP,TOT,USD_CAP,A,2012,44808.549212,
DNK,GDP,TOT,USD_CAP,A,2013,46742.939663,
DNK,GDP,TOT,USD_CAP,A,2014,47905.477079,
DNK,GDP,TOT,USD_CAP,A,2015,49058.142344,
DNK,GDP,TOT,USD_CAP,A,2016,51967.020438,
DNK,GDP,TOT,USD_CAP,A,2017,55356.49009,
DNK,GDP,TOT,USD_CAP,A,2018,57479.350221,
DNK,GDP,TOT,USD_CAP,A,2019,58495.572023,
DNK,GDP,TOT,USD_CAP,A,2020,60098.509912,
FIN,GDP,TOT,USD_CAP,A,2011,40916.647325,
FIN,GDP,TOT,USD_CAP,A,2012,40872.854802,
FIN,GDP,TOT,USD_CAP,A,2013,41492.918416,
FIN,GDP,TOT,USD_CAP,A,2014,41749.864733,
FIN,GDP,TOT,USD_CAP,A,2015,42490.211049,
FIN,GDP,TOT,USD_CAP,A,2016,44934.488245,
FIN,GDP,TOT,USD_CAP,A,2017,47570.270354,
FIN,GDP,TOT,USD_CAP,A,2018,49573.255773,
FIN,GDP,TOT,USD_CAP,A,2019,50322.84765,
FIN,GDP,TOT,USD_CAP,A,2020,50936.750455,
FRA,GDP,TOT,USD_CAP,A,2011,37447.949543,
FRA,GDP,TOT,USD_CAP,A,2012,37684.198067,
FRA,GDP,TOT,USD_CAP,A,2013,39528.473644,
FRA,GDP,TOT,USD_CAP,A,2014,40144.059485,
FRA,GDP,TOT,USD_CAP,A,2015,40829.893311,
FRA,GDP,TOT,USD_CAP,A,2016,42855.944562,
FRA,GDP,TOT,USD_CAP,A,2017,44445.59677,
FRA,GDP,TOT,USD_CAP,A,2018,46336.933985,
FRA,GDP,TOT,USD_CAP,A,2019,48700.802342,P
FRA,GDP,TOT,USD_CAP,A,2020,46713.800171,P
DEU,GDP,TOT,USD_CAP,A,2011,42541.513126,
DEU,GDP,TOT,USD_CAP,A,2012,43359.541048,
DEU,GDP,TOT,USD_CAP,A,2013,44993.667838,
DEU,GDP,TOT,USD_CAP,A,2014,47011.280402,
DEU,GDP,TOT,USD_CAP,A,2015,47609.557159,
DEU,GDP,TOT,USD_CAP,A,2016,50579.483717,
DEU,GDP,TOT,USD_CAP,A,2017,53071.478374,
DEU,GDP,TOT,USD_CAP,A,2018,55195.722049,
DEU,GDP,TOT,USD_CAP,A,2019,55651.435768,P
DEU,GDP,TOT,USD_CAP,A,2020,55461.202156,P
GRC,GDP,TOT,USD_CAP,A,2011,25671.291223,
GRC,GDP,TOT,USD_CAP,A,2012,24911.062614,
GRC,GDP,TOT,USD_CAP,A,2013,25986.57671,
GRC,GDP,TOT,USD_CAP,A,2014,26625.188631,
GRC,GDP,TOT,USD_CAP,A,2015,26760.152201,
GRC,GDP,TOT,USD_CAP,A,2016,27511.777671,
GRC,GDP,TOT,USD_CAP,A,2017,28604.794575,
GRC,GDP,TOT,USD_CAP,A,2018,29617.499309,
GRC,GDP,TOT,USD_CAP,A,2019,30373.048653,
GRC,GDP,TOT,USD_CAP,A,2020,27967.250116,P
HUN,GDP,TOT,USD_CAP,A,2011,23029.447178,
HUN,GDP,TOT,USD_CAP,A,2012,23267.448393,
HUN,GDP,TOT,USD_CAP,A,2013,24547.980456,
HUN,GDP,TOT,USD_CAP,A,2014,25691.527335,
HUN,GDP,TOT,USD_CAP,A,2015,26798.854228,
HUN,GDP,TOT,USD_CAP,A,2016,27941.926751,
HUN,GDP,TOT,USD_CAP,A,2017,29496.163748,
HUN,GDP,TOT,USD_CAP,A,2018,31908.661917,
HUN,GDP,TOT,USD_CAP,A,2019,33609.65041,
HUN,GDP,TOT,USD_CAP,A,2020,33367.522092,P
ISL,GDP,TOT,USD_CAP,A,2011,40938.664549,
ISL,GDP,TOT,USD_CAP,A,2012,42006.543346,
ISL,GDP,TOT,USD_CAP,A,2013,44404.731588,
ISL,GDP,TOT,USD_CAP,A,2014,45995.001692,
ISL,GDP,TOT,USD_CAP,A,2015,49203.294991,
ISL,GDP,TOT,USD_CAP,A,2016,53486.615773,
ISL,GDP,TOT,USD_CAP,A,2017,55638.491978,
ISL,GDP,TOT,USD_CAP,A,2018,57208.31151,
ISL,GDP,TOT,USD_CAP,A,2019,58209.933438,
ISL,GDP,TOT,USD_CAP,A,2020,53553.506349,
IRL,GDP,TOT,USD_CAP,A,2011,45100.566928,
IRL,GDP,TOT,USD_CAP,A,2012,46409.6824,
IRL,GDP,TOT,USD_CAP,A,2013,47882.067704,
IRL,GDP,TOT,USD_CAP,A,2014,51195.991955,
IRL,GDP,TOT,USD_CAP,A,2015,69165.900652,
IRL,GDP,TOT,USD_CAP,A,2016,71633.128805,
IRL,GDP,TOT,USD_CAP,A,2017,78051.654251,
IRL,GDP,TOT,USD_CAP,A,2018,84824.352993,
IRL,GDP,TOT,USD_CAP,A,2019,87550.548894,
IRL,GDP,TOT,USD_CAP,A,2020,93442.328189,
ITA,GDP,TOT,USD_CAP,A,2011,36203.328522,
ITA,GDP,TOT,USD_CAP,A,2012,36091.373957,
ITA,GDP,TOT,USD_CAP,A,2013,36267.925352,
ITA,GDP,TOT,USD_CAP,A,2014,36475.976061,
ITA,GDP,TOT,USD_CAP,A,2015,37206.331822,
ITA,GDP,TOT,USD_CAP,A,2016,40267.222623,
ITA,GDP,TOT,USD_CAP,A,2017,41951.466331,
ITA,GDP,TOT,USD_CAP,A,2018,43427.663143,
ITA,GDP,TOT,USD_CAP,A,2019,44376.537527,
ITA,GDP,TOT,USD_CAP,A,2020,42088.117104,
JPN,GDP,TOT,USD_CAP,A,2011,36215.006272,
JPN,GDP,TOT,USD_CAP,A,2012,37628.675989,
JPN,GDP,TOT,USD_CAP,A,2013,39436.682585,
JPN,GDP,TOT,USD_CAP,A,2014,39559.763471,
JPN,GDP,TOT,USD_CAP,A,2015,40908.781547,
JPN,GDP,TOT,USD_CAP,A,2016,40642.704531,
JPN,GDP,TOT,USD_CAP,A,2017,41531.221619,
JPN,GDP,TOT,USD_CAP,A,2018,42239.050068,
JPN,GDP,TOT,USD_CAP,A,2019,42438.755946,
JPN,GDP,TOT,USD_CAP,A,2020,42285.325693,
KOR,GDP,TOT,USD_CAP,A,2011,32546.517725,
KOR,GDP,TOT,USD_CAP,A,2012,33557.030447,
KOR,GDP,TOT,USD_CAP,A,2013,34244.239492,
KOR,GDP,TOT,USD_CAP,A,2014,35324.260296,
KOR,GDP,TOT,USD_CAP,A,2015,37902.361018,
KOR,GDP,TOT,USD_CAP,A,2016,39575.302078,
KOR,GDP,TOT,USD_CAP,A,2017,40957.347064,
KOR,GDP,TOT,USD_CAP,A,2018,43044.340145,
KOR,GDP,TOT,USD_CAP,A,2019,42998.24041,
KOR,GDP,TOT,USD_CAP,A,2020,45403.24191,
LUX,GDP,TOT,USD_CAP,A,2011,94278.922851,
LUX,GDP,TOT,USD_CAP,A,2012,96535.745828,
LUX,GDP,TOT,USD_CAP,A,2013,100561.366405,
LUX,GDP,TOT,USD_CAP,A,2014,104917.945675,
LUX,GDP,TOT,USD_CAP,A,2015,107898.304236,
LUX,GDP,TOT,USD_CAP,A,2016,112955.470175,
LUX,GDP,TOT,USD_CAP,A,2017,114862.528755,
LUX,GDP,TOT,USD_CAP,A,2018,116334.724739,
LUX,GDP,TOT,USD_CAP,A,2019,116441.790421,
LUX,GDP,TOT,USD_CAP,A,2020,118747.486162,
MEX,GDP,TOT,USD_CAP,A,2011,16546.641414,
MEX,GDP,TOT,USD_CAP,A,2012,17220.06914,
MEX,GDP,TOT,USD_CAP,A,2013,17461.798268,
MEX,GDP,TOT,USD_CAP,A,2014,18178.397421,
MEX,GDP,TOT,USD_CAP,A,2015,18454.801482,
MEX,GDP,TOT,USD_CAP,A,2016,19516.145022,
MEX,GDP,TOT,USD_CAP,A,2017,19947.197691,
MEX,GDP,TOT,USD_CAP,A,2018,20354.829507,
MEX,GDP,TOT,USD_CAP,A,2019,20145.644354,P
MEX,GDP,TOT,USD_CAP,A,2020,18962.568201,P
NLD,GDP,TOT,USD_CAP,A,2011,46599.227659,
NLD,GDP,TOT,USD_CAP,A,2012,47271.968226,
NLD,GDP,TOT,USD_CAP,A,2013,49242.786711,
NLD,GDP,TOT,USD_CAP,A,2014,49233.230349,
NLD,GDP,TOT,USD_CAP,A,2015,50288.352815,
NLD,GDP,TOT,USD_CAP,A,2016,52289.404292,
NLD,GDP,TOT,USD_CAP,A,2017,55089.58143,
NLD,GDP,TOT,USD_CAP,A,2018,57825.399708,
NLD,GDP,TOT,USD_CAP,A,2019,59003.864774,
NLD,GDP,TOT,USD_CAP,A,2020,59001.177882,P
NZL,GDP,TOT,USD_CAP,A,2011,32638.103325,
NZL,GDP,TOT,USD_CAP,A,2012,32916.91304,
NZL,GDP,TOT,USD_CAP,A,2013,36084.865782,
NZL,GDP,TOT,USD_CAP,A,2014,37084.794142,
NZL,GDP,TOT,USD_CAP,A,2015,37246.951138,
NZL,GDP,TOT,USD_CAP,A,2016,39696.946073,
NZL,GDP,TOT,USD_CAP,A,2017,42008.211082,
NZL,GDP,TOT,USD_CAP,A,2018,42334.17358,
NZL,GDP,TOT,USD_CAP,A,2019,45251.266802,
NZL,GDP,TOT,USD_CAP,A,2020,44698.274404,
NOR,GDP,TOT,USD_CAP,A,2011,62077.845797,
NOR,GDP,TOT,USD_CAP,A,2012,65349.216157,
NOR,GDP,TOT,USD_CAP,A,2013,66956.285962,
NOR,GDP,TOT,USD_CAP,A,2014,65895.667611,
NOR,GDP,TOT,USD_CAP,A,2015,60352.716908,
NOR,GDP,TOT,USD_CAP,A,2016,58923.240139,
NOR,GDP,TOT,USD_CAP,A,2017,64050.366694,
NOR,GDP,TOT,USD_CAP,A,2018,69807.225536,
NOR,GDP,TOT,USD_CAP,A,2019,66797.863207,
NOR,GDP,TOT,USD_CAP,A,2020,62650.379161,
POL,GDP,TOT,USD_CAP,A,2011,22386.227115,
POL,GDP,TOT,USD_CAP,A,2012,23300.922905,
POL,GDP,TOT,USD_CAP,A,2013,24028.186721,
POL,GDP,TOT,USD_CAP,A,2014,25005.655694,
POL,GDP,TOT,USD_CAP,A,2015,26495.814917,
POL,GDP,TOT,USD_CAP,A,2016,27830.927735,
